"","Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals","Dist"
"742","besi1244","Austroasiatic [aust1305]",2201,58,58,NA,NA,0,NA,"AGR","S/SE Asia",2.717,101.676,FALSE,14172.6323755031
"743","bett1235","Dravidian [drav1251]",1190,37,35,2,1,2,NA,"AGR","S/SE Asia",11.6385,76.6064,TRUE,11292.5011148347
"744","bhil1251","Indo-European [indo1319]",1712,62,62,4,4,0,NA,"AGR","S/SE Asia",20.85,73.9592,FALSE,10579.8159528731
"745","bhoj1244","Indo-European [indo1319]",2357,51,51,NA,NA,0,NA,"AGR","S/SE Asia",26.458455,84.817115,FALSE,11416.9120411483
"746","blan1242","Austroasiatic [aust1305]",1065,40,39,3,2,1,NA,"HG","S/SE Asia",22.0092,99.7405,TRUE,13008.2820786469
"747","bodo1267","Austroasiatic [aust1305]",2576,36,36,NA,NA,0,NA,"AGR","S/SE Asia",18.3857,82.771,FALSE,11536.5691107015
"748","bodo1269","Sino-Tibetan [sino1245]",263,21,21,3,3,0,NA,"AGR","S/SE Asia",26.725455,89.333235,FALSE,11836.7454567656
"749","bona1250","Mongolic [mong1329]",2588,36,35,7,6,1,NA,"AGR","S/SE Asia",35.6972,102.995,TRUE,12794.1086123124
"750","bond1245","Austroasiatic [aust1305]",1101,27,27,2,2,0,"AGR","AGR","S/SE Asia",19.1512,83.8141,FALSE,11602.8926446557
"751","bouy1240","Tai-Kadai [taik1256]",28,38,36,5,3,2,NA,"AGR","S/SE Asia",24.8484,106.187,TRUE,13492.1303580488
"752","brah1256","Dravidian [drav1251]",2290,43,42,8,7,1,"AGR","AGR","W and SW Eurasia",28.5347,64.2991,TRUE,9396.29161008234
"753","bret1244","Indo-European [indo1319]",157,42,40,7,5,2,NA,"AGR","W and SW Eurasia",48.2452,-3.78934,TRUE,9923.05121925677
"754","brok1247","Indo-European [indo1319]",1198,41,39,11,9,2,NA,"AGR","S/SE Asia",34.5308,76.6026,TRUE,10461.6687403873
"755","brun1242","Austronesian [aust1307]",2225,22,22,2,2,0,NA,"AGR","S/SE Asia",4.456045,114.429505,FALSE,15302.7218495363
"756","bujh1238","Sino-Tibetan [sino1245]",2299,47,47,NA,NA,0,NA,"AGR","S/SE Asia",28.0084,84.5068,FALSE,11338.6014975848
"757","bukh1238","Indo-European [indo1319]",2219,29,27,NA,NA,2,NA,"AGR","N-C Asia",41,64,TRUE,9390.10188571424
"758","bulg1262","Indo-European [indo1319]",2163,30,28,NA,NA,2,NA,"AGR","W and SW Eurasia",43.3646,25.047,TRUE,7877.56567429262
"759","bund1253","Indo-European [indo1319]",1716,55,54,4,3,1,NA,"AGR","S/SE Asia",24.8982,78.9542,TRUE,10907.7768889266
"760","buru1296","Burushaski [buru1296][bsk]",6,53,52,9,8,1,"AGR","AGR","S/SE Asia",36.2161,74.8236,TRUE,10286.280340376
"761","camp1261","Indo-European [indo1319]",2546,58,54,NA,NA,4,NA,"AGR","W and SW Eurasia",39.0566,9.03935,TRUE,8602.22627102974
"762","carn1240","Austroasiatic [aust1305]",271,25,24,3,2,1,NA,"AGR","S/SE Asia",9.18853,92.7671,TRUE,12960.6229621601
"763","cebu1242","Austronesian [aust1307]",1692,21,21,2,2,0,NA,"AGR","S/SE Asia",8.38799,124.367,FALSE,16042.4116446039
"764","cent1972","Indo-European [indo1319]",2250,39,37,NA,NA,2,NA,"AGR","W and SW Eurasia",35.6539,45.8077,TRUE,7698.10428842103
"765","cent1973","Indo-European [indo1319]",173,38,37,11,10,1,NA,"AGR","S/SE Asia",31.9153,69.4529,TRUE,9830.19567485825
"766","cent1989","Austroasiatic [aust1305]",14,42,41,2,2,1,NA,"AGR","S/SE Asia",12.0515,105.015,TRUE,13989.6784198094
"767","cent1990","Austroasiatic [aust1305]",1773,35,34,3,2,1,NA,"AGR","S/SE Asia",7.94812,93.3921,TRUE,13088.2331859676
"768","cent2004","Sino-Tibetan [sino1245]",244,29,27,6,4,2,NA,"AGR","S/SE Asia",26.1666,99.7052,TRUE,12833.1661956615
"769","cent2087","Austronesian [aust1307]",1695,28,26,5,3,2,NA,"AGR","S/SE Asia",13.7574,123.403,TRUE,15656.0190359238
"770","cent2092","Austronesian [aust1307]",2208,36,36,NA,NA,0,NA,"AGR","S/SE Asia",7.004574,118.455978,FALSE,15551.7702758298
"771","chan1310","Sino-Tibetan [sino1245]",2356,48,48,NA,NA,0,NA,"AGR","S/SE Asia",28.684,83.4488,FALSE,11218.7745467574
"772","chau1259","Sino-Tibetan [sino1245]",1717,42,42,4,4,0,NA,"AGR","S/SE Asia",29.7033,80.4832,FALSE,10911.6293336914
"773","chec1245","Nakh-Daghestanian [nakh1245]",856,44,43,9,8,1,NA,"AGR","W and SW Eurasia",43.5,45.5,TRUE,8182.00574325541
"774","chen1255","Dravidian [drav1251]",2474,70,70,NA,NA,0,NA,"HG","S/SE Asia",15.8787,79.2534,FALSE,11317.4317717356
"775","chep1245","Sino-Tibetan [sino1245]",857,24,24,2,2,0,"AGR","AGR","S/SE Asia",27.7206,84.9017,FALSE,11384.7597305248
"776","chok1243","Sino-Tibetan [sino1245]",1718,39,37,8,6,2,NA,"AGR","S/SE Asia",25.5636,94.2887,TRUE,12347.1830949837
"777","chon1284","Austroasiatic [aust1305]",910,40,40,2,2,0,NA,"AGR","S/SE Asia",12.5218,102.514,FALSE,13724.4704035776
"778","chra1242","Austroasiatic [aust1305]",861,33,33,2,2,0,NA,"AGR","S/SE Asia",10.8021,107.293,FALSE,14274.0475505725
"779","chuk1273","Chukotko-Kamchatkan [chuk1271]",195,22,22,4,4,0,"HG","HG","N-C Asia",68.6436,170.045,FALSE,14806.028368364
"780","chuv1255","Turkic [turk1311]",189,39,38,7,6,1,NA,"AGR","N-C Asia",55.487,47.163,TRUE,9341.88519242637
"781","coco1260","Austronesian [aust1307]",2222,27,27,3,3,0,NA,"AGR","S/SE Asia",-12.193342,96.833679,FALSE,14629.1738663141
"782","croa1245","Indo-European [indo1319]",1139,36,34,6,5,2,NA,"AGR","W and SW Eurasia",45.2006,16.826,TRUE,8419.65185668369
"783","czec1258","Indo-European [indo1319]",1140,38,36,8,6,2,NA,"AGR","W and SW Eurasia",49.873398,15.10437,TRUE,8895.60951397018
"784","dani1285","Indo-European [indo1319]",2167,69,67,NA,NA,2,NA,"AGR","W and SW Eurasia",54.8655,9.36284,TRUE,9571.11452449346
"785","dark1243","Mongolic [mong1329]",2256,39,38,NA,NA,1,NA,"AGR","N-C Asia",50.623,99.4449,TRUE,12204.6748352252
"786","darm1243","Sino-Tibetan [sino1245]",2383,34,34,3,3,0,NA,"AGR","S/SE Asia",29.8629,80.5439,FALSE,10913.383466635
"787","daur1238","Mongolic [mong1329]",2312,57,56,NA,NA,1,NA,"AGR","N-C Asia",48,124,TRUE,14000.3710378096
"788","dhim1246","Sino-Tibetan [sino1245]",2463,53,53,NA,NA,0,NA,"AGR","S/SE Asia",26.6283,88.3798,FALSE,11749.7483087223
"789","dhiv1236","Indo-European [indo1319]",2315,39,37,NA,NA,2,NA,"AGR","S/SE Asia",1.928498,73.54433,TRUE,11638.3255919074
"790","dido1241","Nakh-Daghestanian [nakh1245]",2329,42,42,NA,NA,0,NA,"AGR","W and SW Eurasia",42.2646,45.8096,FALSE,8102.35023855771
"791","diml1238","Indo-European [indo1319]",1109,44,42,12,10,2,NA,"AGR","W and SW Eurasia",38.6147,39.6388,TRUE,7449.79948157821
"792","dolg1241","Turkic [turk1311]",2255,42,42,NA,NA,0,"HG","HG","N-C Asia",71.1083,94.2936,FALSE,12153.917982741
"793","doma1258","Indo-European [indo1319]",2530,45,43,14,12,2,NA,"AGR","W and SW Eurasia",32,35,TRUE,6625.62451308875
"794","dong1285","Mongolic [mong1329]",2477,34,34,7,7,0,NA,"AGR","S/SE Asia",35.5808,103.558,FALSE,12846.6647077506
"795","dupa1235","Austronesian [aust1307]",1085,20,20,2,2,0,NA,"HG","S/SE Asia",17.3748,122.188,FALSE,15346.8884476635
"796","duru1236","Dravidian [drav1251]",1777,31,31,2,2,0,"AGR","AGR","S/SE Asia",19.0534,82.4881,FALSE,11479.3376248443
"797","dutc1256","Indo-European [indo1319]",1050,39,37,9,7,2,NA,"AGR","W and SW Eurasia",52,5,TRUE,9571.2887887837
"798","dzon1239","Sino-Tibetan [sino1245]",2394,58,58,NA,NA,0,NA,"AGR","S/SE Asia",27.410786,89.581604,FALSE,11837.0953597801
"799","east1436","Indo-European [indo1319]",2204,74,74,NA,NA,0,NA,"AGR","S/SE Asia",NA,NA,FALSE,NA
"800","east2282","Indo-European [indo1319]",2593,55,51,NA,NA,4,NA,"AGR","W and SW Eurasia",NA,NA,TRUE,NA
"801","east2295","Indo-European [indo1319]",1049,47,45,11,9,2,NA,"AGR","W and SW Eurasia",51.75,19.42,TRUE,8900.02686844849
"802","east2304","Indo-European [indo1319]",2498,54,52,NA,NA,2,NA,"AGR","W and SW Eurasia",28,62,TRUE,9186.73514085974
"803","east2328","Uralic [ural1272]",858,27,27,4,4,0,NA,"AGR","N-C Asia",55.8307,48.405,FALSE,9414.16759022565
"804","east2337","Mongolic [mong1329]",2242,42,42,NA,NA,0,NA,"AGR","N-C Asia",37.9882,101.762,FALSE,12620.2290382972
"805","east2347","Sino-Tibetan [sino1245]",2451,47,47,NA,NA,0,NA,"AGR","S/SE Asia",27.3239,87.0832,FALSE,11603.8642140422
"806","east2563","Austronesian [aust1307]",1671,30,30,2,2,0,NA,"AGR","S/SE Asia",11.2853,108.49,FALSE,14364.1461060309
"807","ersu1241","Sino-Tibetan [sino1245]",2199,61,61,NA,NA,0,NA,"AGR","S/SE Asia",29.2867,102.213,FALSE,12945.471476635
"808","erzy1239","Uralic [ural1272]",2616,35,33,9,7,2,NA,"AGR","N-C Asia",52.8548,45.3901,TRUE,9029.36840822146
"809","even1259","Tungusic [tung1282]",2238,29,29,3,3,0,"HG","HG","N-C Asia",53.85,108.626,FALSE,12785.9008016041
"810","even1260","Tungusic [tung1282]",192,36,36,3,3,0,"HG","HG","N-C Asia",70.6687,130.914,FALSE,13473.045227954
"811","faro1244","Indo-European [indo1319]",2378,36,34,NA,NA,2,NA,"AGR","W and SW Eurasia",62.0732,-6.88497,TRUE,10807.4411652063
"812","fili1244","Austronesian [aust1307]",1212,27,26,3,2,1,NA,"AGR","S/SE Asia",12.265,123.464,TRUE,15743.2964515466
"813","finn1318","Uralic [ural1272]",180,42,40,6,4,2,NA,"AGR","N-C Asia",64.7628,25.5577,TRUE,10159.6856680179
"814","fore1265","Uralic [ural1272]",2469,33,33,6,6,0,"HG","AGR","N-C Asia",69.9829,88.2121,FALSE,11899.6264934647
"815","friu1240","Indo-European [indo1319]",1231,39,37,6,4,2,NA,"AGR","W and SW Eurasia",46.1473,13.0493,TRUE,8705.528091658
"816","gade1236","Indo-European [indo1319]",1721,50,50,2,2,0,NA,"AGR","S/SE Asia",25.8583,78.2187,FALSE,10805.3986536066
"817","gaga1249","Turkic [turk1311]",2331,46,44,NA,NA,2,NA,"AGR","W and SW Eurasia",44.5988,28.0277,TRUE,7927.17747958051
"818","gali1258","Indo-European [indo1319]",1141,28,27,5,4,1,NA,"AGR","W and SW Eurasia",42.2446,-7.5343,TRUE,10045.252936605
"819","galo1242","Sino-Tibetan [sino1245]",1722,29,29,2,2,0,NA,"AGR","S/SE Asia",27.749,96.311,FALSE,12456.6484196904
"820","garo1247","Sino-Tibetan [sino1245]",24,26,26,2,2,0,"AGR","AGR","S/SE Asia",25.2954,90.462,FALSE,11994.4531667443
"821","gata1239","Austroasiatic [aust1305]",2435,40,40,NA,NA,0,NA,"AGR","S/SE Asia",18.6076,82.984,FALSE,11547.0786120508
"822","gayo1244","Austronesian [aust1307]",1052,27,27,2,2,0,NA,"AGR","S/SE Asia",4.3733,97.3456,FALSE,13665.5978537813
"823","gheg1238","Indo-European [indo1319]",2358,43,41,NA,NA,2,NA,"AGR","W and SW Eurasia",42.317,21.3837,TRUE,7937.07510227118
"824","ghod1238","Nakh-Daghestanian [nakh1245]",2565,66,66,NA,NA,0,NA,"AGR","W and SW Eurasia",42.7428,46.2252,FALSE,8163.69558531498
"825","gily1242","Nivkh [gily1242][niv]",194,44,42,9,8,2,"HG","HG","N-C Asia",52.59,140.681,TRUE,14820.6638080232
"826","guja1252","Indo-European [indo1319]",2452,58,56,NA,NA,2,NA,"AGR","S/SE Asia",22.687,71.0962,TRUE,10230.0106471003
"827","guja1253","Indo-European [indo1319]",1112,50,49,7,6,1,NA,"AGR","S/SE Asia",34.3768,73.1461,TRUE,10146.9148727777
"828","guru1261","Sino-Tibetan [sino1245]",2344,53,53,3,3,0,NA,"AGR","S/SE Asia",27.41687,86.28988,FALSE,11525.7653138651
"829","haka1240","Sino-Tibetan [sino1245]",287,52,49,13,10,3,"AGR","AGR","S/SE Asia",22.8735,92.8208,TRUE,12312.664171447
"830","hakk1236","Sino-Tibetan [sino1245]",2165,47,45,NA,NA,2,NA,"AGR","S/SE Asia",25,116,TRUE,14388.2249757019
"831","halb1244","Indo-European [indo1319]",1727,42,40,6,4,2,NA,"AGR","S/SE Asia",20.3081,81.3742,TRUE,11317.416422215
"832","halh1238","Mongolic [mong1329]",191,35,35,5,5,0,"AGR","AGR","N-C Asia",48.324,106.289,FALSE,12729.8655220312
"833","hebr1245","Afro-Asiatic [afro1255]",2189,27,25,10,8,2,NA,"AGR","W and SW Eurasia",31.1056,35.0179,TRUE,6577.43299497935
"834","hela1238","Sino-Tibetan [sino1245]",2391,46,46,NA,NA,0,NA,"AGR","S/SE Asia",27.9212,85.6289,FALSE,11447.417186883
"835","hili1240","Austronesian [aust1307]",1696,25,23,4,2,2,NA,"AGR","S/SE Asia",10.4018,122.974,TRUE,15798.8578646096
"836","hind1269","Indo-European [indo1319]",2190,74,70,NA,NA,4,"AGR","AGR","S/SE Asia",25,77,TRUE,10716.3872234075
"837","hmon1264","Hmong-Mien [hmon1336]",2239,61,59,NA,NA,2,"AGR","AGR","S/SE Asia",22.5638,101.95,TRUE,13193.7049396747
"838","hooo1248","Austroasiatic [aust1305]",2359,35,35,2,2,0,NA,"AGR","S/SE Asia",23.9596,87.1188,FALSE,11724.876997853
"839","huml1238","Sino-Tibetan [sino1245]",2313,69,69,NA,NA,0,NA,"AGR","S/SE Asia",30.1451,81.5659,FALSE,11002.5442733732
"840","hung1274","Uralic [ural1272]",2191,64,60,NA,NA,4,"AGR","AGR","W and SW Eurasia",46.90685857,19.65552714,TRUE,8429.82611447775
"841","hunz1247","Nakh-Daghestanian [nakh1245]",2237,60,60,NA,NA,0,"AGR","AGR","W and SW Eurasia",42.0808,46.1369,FALSE,8108.31996687802
